location_name,timestamp,temperature_2m,relative_humidity_2m,precipitation_probability,wind_speed_10m,wind_gusts_10m,flyability_score,crop_condition,dynamic_flow_rate_pct,decision_action,model_action,recommendation_text
An Giang,2026-05-25 06:00:00,28.9,74,0,15.1,21.7,1.0,HEALTHY,90.0,TAKE_OFF,TAKE_OFF,"TAKE_OFF: Dieu kien bay chap nhan duoc. Gio 15.1 km/h, gio giat 21.7 km/h, xac suat mua 0%. De xuat flow-rate 90.0%."
An Giang,2026-05-25 07:00:00,29.6,72,0,17.6,22.8,1.0,HEALTHY,90.0,TAKE_OFF,TAKE_OFF,"TAKE_OFF: Dieu kien bay chap nhan duoc. Gio 17.6 km/h, gio giat 22.8 km/h, xac suat mua 0%. De xuat flow-rate 90.0%."
An Giang,2026-05-25 08:00:00,31.1,63,0,14.8,17.0,1.0,HEALTHY,100.0,TAKE_OFF,TAKE_OFF,"TAKE_OFF: Dieu kien bay chap nhan duoc. Gio 14.8 km/h, gio giat 17.0 km/h, xac suat mua 0%. De xuat flow-rate 100.0%."
An Giang,2026-05-25 09:00:00,32.7,55,0,10.8,12.4,1.0,WATER_STRESS,108.0,TAKE_OFF,TAKE_OFF,"TAKE_OFF: Dieu kien bay chap nhan duoc. Gio 10.8 km/h, gio giat 12.4 km/h, xac suat mua 0%. De xuat flow-rate 108.0%."
An Giang,2026-05-25 10:00:00,34.1,50,0,8.3,9.5,1.0,WATER_STRESS,108.0,TAKE_OFF,TAKE_OFF,"TAKE_OFF: Dieu kien bay chap nhan duoc. Gio 8.3 km/h, gio giat 9.5 km/h, xac suat mua 0%. De xuat flow-rate 108.0%."
An Giang,2026-05-25 11:00:00,35.5,45,0,9.4,10.8,1.0,DRY_SOIL,103.0,DELAY_FLIGHT,DELAY_FLIGHT,DELAY_FLIGHT: Tam hoan bay do nhiet do 35.5C hoac rui ro mua 0%. Kiem tra lai khung gio ke tiep.
An Giang,2026-05-25 12:00:00,36.5,42,0,10.1,11.6,1.0,DRY_SOIL,103.0,DELAY_FLIGHT,DELAY_FLIGHT,DELAY_FLIGHT: Tam hoan bay do nhiet do 36.5C hoac rui ro mua 0%. Kiem tra lai khung gio ke tiep.
An Giang,2026-05-25 13:00:00,37.3,39,0,11.5,13.2,1.0,DRY_SOIL,103.0,DELAY_FLIGHT,DELAY_FLIGHT,DELAY_FLIGHT: Tam hoan bay do nhiet do 37.3C hoac rui ro mua 0%. Kiem tra lai khung gio ke tiep.
An Giang,2026-05-25 14:00:00,37.6,37,100,13.7,15.7,0.6,HEALTHY,73.0,RETURN_TO_CHARGING,RETURN_TO_CHARGING,"RETURN_TO_CHARGING: Thoi tiet mua/nguy hiem, xac suat mua 100%. Dua drone ve tram sac de bao ve thiet bi."
An Giang,2026-05-25 15:00:00,36.0,44,100,24.5,28.8,0.1,HEALTHY,63.0,RETURN_TO_CHARGING,RETURN_TO_CHARGING,"RETURN_TO_CHARGING: Thoi tiet mua/nguy hiem, xac suat mua 100%. Dua drone ve tram sac de bao ve thiet bi."
An Giang,2026-05-25 16:00:00,33.5,52,0,27.0,36.4,0.5,WATER_STRESS,98.0,RETURN_TO_CHARGING,RETURN_TO_CHARGING,"RETURN_TO_CHARGING: Thoi tiet mua/nguy hiem, xac suat mua 0%. Dua drone ve tram sac de bao ve thiet bi."
An Giang,2026-05-25 17:00:00,33.5,51,0,24.1,32.3,0.5,WATER_STRESS,98.0,LOCK_SPRAY,LOCK_SPRAY,LOCK_SPRAY: Khoa lenh phun vi gio/gio giat vuot nguong an toan (24.1/32.3 km/h). Tranh pesticide drift va mat on dinh UAV.
An Giang,2026-05-26 06:00:00,27.9,78,0,13.3,20.1,1.0,HEALTHY,100.0,TAKE_OFF,TAKE_OFF,"TAKE_OFF: Dieu kien bay chap nhan duoc. Gio 13.3 km/h, gio giat 20.1 km/h, xac suat mua 0%. De xuat flow-rate 100.0%."
An Giang,2026-05-26 07:00:00,29.3,71,0,17.6,22.3,1.0,HEALTHY,90.0,TAKE_OFF,TAKE_OFF,"TAKE_OFF: Dieu kien bay chap nhan duoc. Gio 17.6 km/h, gio giat 22.3 km/h, xac suat mua 0%. De xuat flow-rate 90.0%."
An Giang,2026-05-26 08:00:00,30.9,63,0,17.6,20.3,1.0,HEALTHY,90.0,TAKE_OFF,TAKE_OFF,"TAKE_OFF: Dieu kien bay chap nhan duoc. Gio 17.6 km/h, gio giat 20.3 km/h, xac suat mua 0%. De xuat flow-rate 90.0%."
An Giang,2026-05-26 09:00:00,32.6,55,0,16.6,19.0,1.0,WATER_STRESS,98.0,TAKE_OFF,TAKE_OFF,"TAKE_OFF: Dieu kien bay chap nhan duoc. Gio 16.6 km/h, gio giat 19.0 km/h, xac suat mua 0%. De xuat flow-rate 98.0%."
An Giang,2026-05-26 10:00:00,34.1,49,0,16.9,19.5,1.0,WATER_STRESS,98.0,TAKE_OFF,TAKE_OFF,"TAKE_OFF: Dieu kien bay chap nhan duoc. Gio 16.9 km/h, gio giat 19.5 km/h, xac suat mua 0%. De xuat flow-rate 98.0%."
An Giang,2026-05-26 11:00:00,35.5,45,0,16.9,19.5,1.0,DRY_SOIL,93.0,DELAY_FLIGHT,DELAY_FLIGHT,DELAY_FLIGHT: Tam hoan bay do nhiet do 35.5C hoac rui ro mua 0%. Kiem tra lai khung gio ke tiep.
